,Republican
AL,9
AK,3
AZ,11
AR,6
CA,
CO,
CT,
DE,
DC,
FL,29
GA,16
HI,
ID,4
IL,
IN,11
IA,6
KS,6
KY,8
LA,8
ME,1
MD,
MA,
MI,16
MN,
MS,6
MO,10
MT,3
NE,5
NV,
NH,
NJ,
NM,
NY,
NC,15
ND,3
OH,18
OK,7
OR,
PA,20
RI,
SC,9
SD,3
TN,11
TX,36*
UT,6
VT,
VA,
WA,
WV,5
WI,10
WY,3
